title,genre,director,rating
Saroj Ka Rishta,Add a Plot,Abhishek Saxena, 
Ek Gulelbaaz - The Catapult,Add a Plot,Manoj Kumar, 
Untitled Luv Ranjan Film,Plot unknown.,Luv Ranjan, 
Hostel Girl's,This is a story of 5 hostel Girls who against the odds fights with the society who considers them as sex objects. They share a strong bond of friendship and love and helps each other to come out of dire situation .,Rajesh Kamalwar, 
Bed No 17,"BedNo17 is a Film based on the true IncidenT. Story tell about the love shared by a father and a Son. Father didn't tell his son how to live, he lived it so that his son can see and learn.",Mir Sarwar, 
Chhattisgarh - A Numismatic History,"Dr Bhanu Pratap Singh Is A Famous Coin Collector And Researcher , He Organize Exhibition On Coins To Spread Knowledge And Hobby Of Collecting to Students And General Public.He Organised An ...                See full summary »",Bhanu Pratap Singh, 
Flying Man,Add a Plot,Nanubhai Vakil, 
Moh,Add a Plot,Brajesh H. Verma, 
Butterfly Chase,Add a Plot,Brajesh H. Verma, 
Sanphaam,The movie revolves around 5 different women and their life .The main motive behind making a Women Centric movie is to make people realise that Women are the most important part of Human ...                See full summary »,Vibhas Joshi, 
Fulena Nights,Add a Plot,Amit Jha, 
Birsa Munda - The black Iron Man,Add a Plot,Rajesh Mittal, 
Shaheed Chandrashekhar Azaad,"This story is of Azaad , Chandrasekhar Azaad , his passion to free India from shackles of British govt . since childhood he was very furious against Britishers . This story is of conversion...                See full summary »",Rajesh Mittal, 
Kathor,"Neelkanth chaturvedi is 55 years old . He is about to retire in 2 years from the post of Constable from Bilaspur Central Jail. He has a small family, wife Jyoti and daughter Anu. Anu is his...                See full summary »",Karan Kashyap, 
Bridge of illusion,Add a Plot,Santosh Ojha, 
Golibar,Add a Plot,Nanubhai Vakil, 
The Golden Gang,Add a Plot,Kikubhai Desai, 
One Night At Villa,Four architects on a recce trip to Goa find out that the voluptuous lady inviting them to her villa for a night is a witch who feeds on youth. Will they survive the night?,Nitin Kumar Gupta, 
The Last Ride,En grupp äldre cowboys och erfarna boskapsskötare spårar upp en flock vildhästar i Aupouriskogen.,Rajas Paranjpe, 
Mrs & Mr Khurana,The story of Mr and Mrs Khurana.... their Dreams.... Aspirations..... Greed.,Prasadh Inamdar, 
Anjana Ishq,Add a Plot,Sanjiv Trigunayat, 
Trippy Trip,Trippy Trip is based on different dimensions of life and what happens when different timelines clashes with each other. As time is an illusion. With the sound of the car put to a halt and ...                See full summary »,Sanket Verma, 
Touttay,This times it is not about Freedom of Speech but Freedom of Thought.,Shashank Shekhar Singh, 
Meri Shaan Hai Vardi,Add a Plot,Raaja Thakur, 
Bhootwali Love Story,A ghost Madhubala falls in love with a man Kishor Kumar. Things take an interesting turn when she expresses her feelings for him through a thief.,Shantanu Anant Tambe, 
Hitback,Add a Plot,Jojo D'Souza, 
Aaya Hai Dulha Dulhan Le Jayega (AHDDLJ),"""This has 6 original songs and 5 remix songs""",Dharmesh Tiwari, 
Auto Romance in Mumbai,Add a Plot,Shakti Shankar Jaju, 
Youth Future,Add a Plot,Balwant Singh Suri, 
Aahuti,Add a Plot,Rajendra Bhatia, 
Jaana Na Dil Se Door....,Add a Plot,Vijay Anand, 
Riti Rivaj,Add a Plot,Dinesh Rajpurohit, 
Yubi Lakpi,Add a Plot,Dinesh Rajpurohit, 
Shamshera,Add a Plot,Karan Malhotra, 
Ye Hai Gudgudee Zindagi Ki,Add a Plot,Sandeep Solanki, 
Pyar Ektarfa,"Pyar ektarfa is an intense, passionate, roller coaster journey of eccentric painter, vulnerable muse and her dotting husband. This volatile story of modern times, depicts the complexities ...                See full summary »",Pratyush Upadhyay, 
Mann Ke Rang,Add a Plot,Rahul Rai Gupta, 
Lalluram,Add a Plot,Amol Dwivedi, 
Bhu Mafia,Add a Plot,Sanjay Srivastav, 
Abhi toh party shuru hui hai,Add a Plot,Anubhav Sinha, 
7th Villa,Add a Plot,Anubhav Sinha, 
Abhinav Bindra Biopic,"Based on true life story of Abhinav Bindra, an Indian businessman and retired professional shooter who is a former World and Olympic champion in the 10 metre Air Rifle event.",Kannan Iyer, 
The Racer,Add a Plot,Vicky Kadian, 
Hamari paltan,"THE Movie revolves around children from two separate backgrounds, who become friends through the game. These kids start a movement by getting inspired THROUGH A retired professor. THE MOVIE...                See full summary »",Jainendra Jigyasu, 
2006 Varanasi: The Untold,Add a Plot,Aryeman Ramsay, 
Shootout at etawah safari,"Shootout At Etawah Safari is a 2018 Indian Hindi film, directed by S.S. Raja. The film stars Vineet Yadav, Sunny Raj, Aishlisha, Manoj Bakshi, Ali Khan lead roles. The film has musical score by Nitin Prakash Badal.",Raja, 
Shaatiron Ka Shaatir Girgit,Add a Plot,Shravan Shugan, 
Killer Highway 21,Add a Plot,Parveen Dagar, 
Coco aka Fairy Tale,Add a Plot,Abhishek Chandra, 
Pareshaanpur,Add a Plot,Dilip Keshav Mukhariya, 
De Ijaazat Rahun Tujhme,Add a Plot,Awani Agrawal, 
Us Disha Main,Add a Plot,Shamshad Pathan, 
Pyaar Kaa Fundaa,Add a Plot,Monazir Hasan, 
Sirf 5 Din,"A supernatural horror film in which a woman attempts to help a man named Shanti an abuse victim, who he found chained up in a Lonavala bungalow .",V. Menon, 
Nuclear,Add a Plot,Ram Gopal Varma, 
Famous Pandey,"A small town boy comes to the big bad city of Mumbai, with hope, excitement and just a friend to spare. Soon the friendship turns into love and the 2 get hooked. But staying in the city ...                See full summary »",Ekant Babani, 
All About Sec-377,"The journey of a homophobic man ducking & dodging through the days & sleeping with one eye open in the night because of his gay cousin & his boyfriend in the same house, his journey of ...                See full summary »",Amit Khanna, 
Gangs of Gamebaaz,Add a Plot,Yogesh Shahu, 
Ret Mahal,Add a Plot,B.N. Chowhan, 
Silence of Sleep,This Film is the story of a woman who has suffered a serious accident while she was hypnotized by her mysterious and psychopath lover. Since she is in coma all she can do is think of ...                See full summary »,Sudhish Kumar, 
Speed Queen,Add a Plot,Nari Ghadiali, 
Who the Hell,Add a Plot,Jacob Paul, 
Raj Nandini,"A TREASURE , RETD , OF ARCHAEOLOGY , PROF , FERNANDEZ , SEIZES THE OPPORTUNITY TO LEAD TWO GROUPS OF COLLEGE STUDENT IN AN EXCURSION TO NEEL HAVELI A FULLY HAUNTED CANTURY OLD KINGS MANSION...                See full summary »",Tanmoy Roy, 
Based On a True Story,Add a Plot,Jacob Paul, 
Lovekaand,Add a Plot,Jay Gulati, 
Chai Garam,"Sanjana (Esha Deol) is a nurse, who works at the Capital Indian Hospital. A patient, Bengali Suresh (Govinda) befriends Sanjana, and Sanjana going along with the new friendship since she ...                See full summary »",Aditya Dutt, 
Alibaba Aur 41 Chor,Add a Plot,Soumitra Ranade, 
Ravana: Ek Love Katha,Add a Plot,J. Nutan Punkaj, 
Waah Teri Shaadi,Add a Plot,Mr. Moris, 
Kutumb the Family,Add a Plot,Amit Shree Yadav, 
Alert 24X7,Add a Plot,Soujan Josseph, 
Andh: Let's Play Blind,"Palak is normal but acts blind. She even works as Blind. When Netra meets Palak, he finds it difficult to trust her. What secrets is she hiding? He has no idea that she will change his life forever, in unimaginable ways.",Vijay Shankar Sharma, 
Monophobia,A man suffering from monophobia - the fear of being alone - finds himself lost in a forest.,Ashwini Malik, 
Mirage,Add a Plot,Ramana.artbyramana, 
Juli Juli,Add a Plot,Narugopal Mandal, 
Pustak,Director's Note: Cinema is a big influence in our lives. Movies like Taare Zameen Par and 3 idiots teach us that every individual is different and we should embrace our uniqueness. I want ...                See full summary »,Swadhaa R Singh, 
S the Film,Add a Plot,Devang Dholakia, 
Paramahans Lakshminath Gosain,"this boigraphy Docudrama is about the legendary Saint of Mythila Paramhans Lakshminath Gosain ,who is called as babajee in bihar and mythila region . he was born approximately in the year ...                See full summary »",Ramesha K Barti, 
Sarfarosh 2,Add a Plot,John Mathew Matthan, 
Billi,Add a Plot,Nari Ghadiali, 
Secret of Selfie,Add a Plot,Nari Ghadiali, 
No mind,A road trip that goes wrong in the most abstract and tragic ways possible. The film is about an ordinary guy and how he finds himself amongst all the chaos and absurdity that this road trip...                See full summary »,Chirag Desgiri, 
Rickshawali,Add a Plot,Suresh Jain, 
Lets Fly with My Paper Rocket,Let's fly with my PAPER ROCKET is a thriller-drama film based on child trafficking and prostitution.The story is of a small boy who becomes a human trafficking victim at the age of only 10 ...                See full summary »,Abhijeet Sahoo, 
Asthi the Ashes,A girl unwilling to let go of her dead mothers ashes(Asthi) in the Ganges.,Dinkar Rao, 
Love a Killer Trap,Add a Plot,Kalim Sheikh, 
Mumbaiyya: The Daring Mumbaikar!,"Mumbaiyya is an Narrative Action Drama flim The story revolves around the dark side of Mumbai underworld and Bollywood glamour industry. Arhaan a young,dynamic personality who lives in ...                See full summary »",Arhaan, 
Kick 2,Add a Plot,Pramod Kumar, 
Srinagar,"Based on today's time Kashmiri Pandit issue, The Hindus of the Kashmir Valley, a large majority of whom were Kashmiri Pandits, were forced to flee the Kashmir valley as a result of terrorism, on or after 20 January 1990.",Sanoj R. Mishra, 
Patiala Punch,Add a Plot,Jaga Peddi, 
Chhappan Churi,Add a Plot,Ramakant Rangnath, 
Dagabaaz Duniya,Add a Plot,Ramakant Rangnath, 
Dagabaaz Dost,Add a Plot,S.M. Ibrahim, 
Fair in Love,"This is the story of a woman ALPANA, daughter to a Minister of Women Welfare of U.P. living in Kanpur to whom respect and honor was her pride. ALPANA falls in love with an Engineer"" DEV"" ...                See full summary »",Ashok K Mishra, 
Daasi Ya Maa,Add a Plot,Shaukat Hussain Rizvi, 
Jekara Charanva Mein Lagle Paranva,Add a Plot,Adarsh, 
Kira: The Return of the Unknown,"Kira - The return of the unknown; is a story about 11 friends who mysteriously gets killed one by one in a secluded island. The movie depicts the good, bad and the worst part of a human psychology.",Vivek K. Chaudhary, 
Hum Sab Ullu Hain,Hum Sab Ullu Hain is an Indian 2015 Bollywood comedy film. The film was released on 11 September 2015. Hum Sab Ullu Hain is a non-stop comedy film with a lot of comedy actors playing their central characters.,Tariq Bhat, 
Love in a Taxi,Add a Plot,Rupesh Paul, 
Ishq Uncensored,Add a Plot,Anuradha Tiwari, 
Danger,Add a Plot,Faisal Saif, 
Bachpan Ek Dhokha,Add a Plot,Rajiv Sharma, 
Babuji Ek Ticket Bambai,Add a Plot,Arvind Tripathi, 
Wo India Ka Shakespeare,A group of friends who go out to find out why their work company's boss was murdered.,Suresh Mandal, 
The Last Koan,"A writer who has unresolved issues with his dead mother who abandoned him as a child and a woman who has intermixed the identities of her husband and his best friend, explore the meaning of...                See full summary »",Satya Prakash Choudhary, 
Suraj Bhi Tamashai,Add a Plot,Zia-ur-Rasheed, 
Rashna: The Ray of Light,"Rishabh Thakkar has just arrived from Durban,South Africa and is enjoying his life in India before joining his Dad's business but as the events turn upside down he is seen busy chasing the ...                See full summary »",Vibha Singh, 
His Memoir,A white collar worker turns to violence upon being humiliated due to his writing with left hand.,Achyut Prashast Singh, 
Seventh,On a gloomy night on the 1st of May Sufi comes back to his building only to get stuck in the lift and he has friend along- a cockroach. Beneath the surface of his life Sufi is hiding a ...                See full summary »,Sam Khan, 
Rum Pum Posshh,"Rum Pum Posshh is a thriller, which shows the story of 6 friends and their antics spanning over 3 days, it begins with fun and craziness and later how things turn upside down.",Sam Khan, 
Roop Basant,Add a Plot,Amulakh Desai, 
Kahani Mitra Ki,"Two innocent friends get entangled in a web of lust, hate, chaos and lesbian love.",Akash Khurana, 
Lasafot,"LASAFOT is a story of a family of a mother, a handicap elder son, a rebel rowdy younger son that splits in one day and gets destroyed in trying to keep to save themselves and get their goals.",Shitiz Srivastava, 
Chor Nikal Ke Bhaaga,Add a Plot,Shitiz Srivastava, 
Objection My God,Add a Plot,Amit Khan, 
Sai Mahima,Add a Plot,Sukhvinder Sharma, 
The Rock,Add a Plot,Ramana.artbyramana, 
Voohallo.com,Add a Plot,Ramana.artbyramana, 
Janam,Add a Plot,Ramana.artbyramana, 
The Storyteller,"Based on Satyajit Ray's short story ""Golpo Boliye Tarini Khuro"" about originality versus plagiarism.",Anant Mahadevan, 
Out of Time,Add a Plot,Arijit Lahiri, 
Delhi Mere Baap Ki,Add a Plot,Shashi Pal, 
Chirkut Chandan Ki Anokhi Prem Kahani,"A comedy short film set in a small north Indian city called Kanpur, depicting an innocent teenager boy trying desperately to make a girl friend.",Rahul Deo Verma, 
Black & White,Add a Plot,Kkunal Shinde, 
Yeh Sunday Kyun Aata hai,"The film is based on the 4 real shoe-polish boys of Goregaon Railway Station, Mumbai, who earn their daily bread and butter by polishing shoes at railway station. Their lives are full of ...                See full summary »",Rabinder Parasher, 
Hungama on Honeymoon Hills,Hungama on Honeymoon Hills is a Hindi movie which deals with narrow mind of rural Indian society on gay relationship It is a comedy romantic drama.,Narayan Chauhan, 
Durga Rani Singh,Add a Plot,Narayan Chauhan, 
Bandookraj,Add a Plot,Aditya Om, 
Pyar Se Bolo Devaa,Add a Plot,Tiger Yd Yadav, 
Sweet Romeo,Add a Plot,Tiger Yd Yadav, 
Taapmaan,An independent filmmaker's struggle for justice begins after he's framed by an online critic for making a snuff film.,Achyut Prashast Singh, 
Hawas Ki Diwani,"Hawas Ki Diwani is a 2002 film, directed by U.C.Roshan and produced by S.K Gupta. The film stars Shakila, Heera, Usman and Gandhi in lead roles. The film had musical score by S.P.Venkatesh.",Achyut Prashast Singh, 
Summer of '99,"A nostalgic trip back into to the late 90's... A never before seen innocent and youthful saga about friendship, compassion,enmity,love,crush,ambitions,aspirations,success and failure.",Dilip Sood, 
Adhura Badan,Add a Plot,Dilip Sood, 
Umang,Add a Plot,Dilip Sood, 
Pyasi Aurat,Add a Plot,Dilip Sood, 
O God Ganesha,Add a Plot,Santosh, 
10 Nahi 40,An educational entertainer sending a message to the society to understand and care for the elderly.To know their insecurities and fears as they approach the twilight of their lives. The ...                See full summary »,J.S. Randhawa, 
Dream Zindagi,"Dream Zindagi is a 2017 Indian Hindi film, directed by Raja Rajawat and produced by Shanti Lal Chopra & Amit Chopra. The film stars Aliya Khan, Shubhra Ghosh, Nishant Kumar and Seema Singh ...                See full summary »",Raj Rajawat, 
Ek Raat,Add a Plot,Ali Khan, 
Tu Rehna Mera,"Movie surrounds across a couple called Aditya and Rinkal who got separated during their colleges days five years ago due to some misunderstanding, later now their friends decide to meet ...                See full summary »",Ali Khan, 
Rukke Padge,Add a Plot,Ashoak C. Tyagi, 
Mangal Ho 3,Add a Plot,Pritish Chakraborty, 
Mangal Ho 2,Add a Plot,Pritish Chakraborty, 
Shahrukh Banna Aasan Nahi,Add a Plot,Kabir Virk, 
Jaan Tu Hain Ke Nahin,Add a Plot,Kashmera Shah, 
Chhe: Six,Those six didn't believe in the legends.. The legends which were there from centuries... and for a reason.,Dilip Sood, 
Task,Add a Plot,Azad Hussain, 
Desi Wrestler: The Power of Bull,"After completing his schooling, Abhay goes University for further education. As Abhay belongs to Wrestler father, he participated in University wrestling championship and beat Sanjay, the ...                See full summary »",Bhupendra Singh, 
Aaj Ki Biwi,Add a Plot,Ajay Kumar, 
Don Bhaisahab,Add a Plot,Virag Mishra, 
Bloody Psycho,"After the death of his wife, psycho husband turns to a killer machine, since the husband is madly in love with his wife, he keeps her dead body till it turns to a skeleton. Meanwhile a ...                See full summary »",Irfan Khan, 
Anar,Add a Plot,K.K. Shahi, 
Cash hai to aish hai,Add a Plot,Manish Vatssalya, 
Gaalib,"'Gaalib' will shed light on Afzal Guru's son Gaalib Guru . Afzal Guru was convicted for his role in the 2001 Indian Parliament attack and sentenced to death. It was upheld by the Supreme Court and he was hanged to death on Feb 9, 2013.",Manoj Giri, 
You Make Me Feel Alive,Add a Plot,Kumar Siddharth, 
Biharism,Add a Plot,Rajesh Udhwani, 
Web Girls,Based On Web Crime.,Azad Hussain, 
Firautibaaz,Add a Plot,Abhinav Nirala, 
Sakhi,A young girl sets on a journey of self discovery and search for identity only to find herself caught in the vicious world of religious prostitution.,Annu Kapil, 
Code Al,Private military operation in Afghanistan with Indian and Afghan commandos.,Annu Kapil, 
A Twist of Date,A horror comedy about wrong place at the wrong time can lead to the scariest phenomenon. How a spirit captures a human being making it impossible for her to leave its lurches. Will good win over evil?,Kashmera Shah, 
Breakup,Add a Plot,Munna Rizvi, 
ALIF,The hero have to win the dance tournament to save the world from being destroyed,Kamal K.M., 
Mandi: Ek Prem Katha,Add a Plot,Tarun R. Takshy, 
Ek Ke Upar Do,Add a Plot,S.R. Pratap, 
2007 the last encounter,Add a Plot,Partha Sarkar, 
Spellbound,""" The Best Criminals in the world and the biggest heist of their lives to make it happen one day."" A world famous smuggler Sherpa Kantia, is after a treasure buried in a Castle which is ...                See full summary »",Dharam Panesar, 
Bhikhari the Billionaire,"A young billionaire has to give up all his wealth, in order to save his ailing other who is on a death bed. He has to begs alms for a certain period and donate it to a Temple. How he goes through his journey as a beggar forms the climax""",Dharam Panesar, 
Wapsi the Return,"As a soul never dies, the love never ends and the power of love makes the soul to take the rebirth after 300 years.",Dharam Panesar, 
Murder at Koh E Fiza,"Film based in Bhopal, it's murder mystery in today's time .",Diwakar Naik, 
Nada Pandey,Add a Plot,Iqbal Baksh, 
Aye Sanam Tere Liye,Add a Plot,Iqbal Baksh, 
Yuvak,Add a Plot,Iqbal Baksh, 
Tricode: Let the Battle Begin,A hacker boy found his father's hidden technology. This will change his life forever.,Aditya Prajapati, 
Kalankini Based on the Novel by Gulshan Nanda 1993,A story of an illicit relationship between a niece and an uncle.,Dharam Panesar, 
Borivali Ka Bruce Lee,Borivali Ka Bruce is the story of an an eight year old brat having to deal with a bully in school during Kung Foo class. And how this crisis in his life ends up bringing his parents together even as they are filing for divorce.,Ashutosh Warang, 
Scholarship,Add a Plot,Raman Bharadwaj, 
Dil Maane Na,Add a Plot,Sumeet Chawla, 
Yakshini,Add a Plot,Samir Jagot, 
City of Dreams,The story of an aspiring actress who comes to Mumbai to fulfill her desires. But her dreams will have to pay a heavy price as nothing in the film industry is as clear as it seems. In order ...                See full summary »,Mahesh D. Singh, 
Mehroom,Add a Plot,Asif Khan, 
Shaher,Four holy men under go a crisis of faith when they confront the forces of modernity in the form of a crippled beggar.,Rajiv Mudgal, 
Soni De Nakhara,Add a Plot,Vicky Gangadhar, 
City of Dark,Two separate journeys get tied together when a man and a woman are attracted to a stranger. Kabir is a small time stage show actor who earns his livelihood as a part time car thief. Even ...                See full summary »,Spandan Banerjee, 
Firrkie,Add a Plot,Ankush Bhatt, 
Rajdarshan,"When Lambodar Bhatt is given the opportunity to have his soul transported into King Nand's body, he thinks of it as a way to become rich. However once Lambodar becomes the King, he finds ...                See full summary »",Shivajee Chandrabhushan, 
Mahwari,Mahwari is a Hindi feature film against 21 superstitious beliefs from all the religions from across the globe a girl faces at the time of menstruation.,Amit Ramesh Rughani, 
Qurbat,Qurbat is a story of a middle class person Ajay Patil stuck in a legal matter though he is innocent.,Amit Ramesh Rughani, 
Foser Villy,"A young man had a kind of psychological problem, which mainly included detest from dirtiness. He had been in search of a girl, who must be neat and clean, but every time he found some ...                See full summary »",Vikram Singh Parihar, 
I Am Not a Begger,Add a Plot,Vijay Pal, 
Vilaap,Add a Plot,Surendar Chawdhary, 
Nanhi Si Kali: Betiyaan,Add a Plot,Vijay Pal, 
Ticket to Bollywood,Ticket to Bollywood is an upcoming Indian Drama film showing the struggle of Arjun to establish himself as a director in Bollywood.,Faraz Haider, 
My Target IAS,Add a Plot,Kewal Singh, 
Mera Javai N.R.I.,Add a Plot,Ajay Dixit, 
Bhomli,Add a Plot,Ajay Dixit, 
Red Affair,"Arbaaz Khan will be essaying the role of a CBI officer in the film Red Affair, which has been written by novelist Amit Khan. The novel, which will be published in both English and Hindi.",Subroto Paul, 
Jaatiwad,Add a Plot,Sabir Shaikh, 
Nagravadhu Amrapali,Add a Plot,Atul Agarrwal, 
All You Need ... Love,Add a Plot,Atul Agarrwal, 
The Legend of Peacock,Add a Plot,Atul Agarrwal, 
Ishq Ke Rang,It is a horror thrill drama where spirits of a couple keep on haunting in a bungalow and punish those who come to stay over there and are cheaters or liars. Finally a Tantrik make their spirits relieve and they come to peace ..,Pradeep R. Sharma, 
Ishq Samandar,Add a Plot,Anwar Ali, 
Etawah Safari,Add a Plot,S.S. Raja, 
Ghanta Chori Ho Gaya,"Ghanta Chori Ho Gaya is a 2017 Indian Hindi film, directed by Nirbhay Chaudhary and produced by Vikram Gurjar. The film stars Kunal Jaiswal, Chhaya Soni, Raghavendra Tiwari and Shahbaz Khan...                See full summary »",Nirbhay Chaudhary, 
Gahan,The story is centered around a five year old girl whose innocence is caught in the world of hatred.,Surendran Kaliyaperumal, 
Arranged,"Abhinav and Manali meet for an arranged marriage date. They try to explore each other through the socio political environment around them. They discuss about films, society and much more.",Mritunjay Sharma, 
ROOH - Ghost Story,Add a Plot,Mritunjay Sharma, 
Gol Gattam,A small town cricket crazed poor boy and his struggle to prove himself and play in the ground of and among the privileged.,Anuj Pandey, 
Bhaag Bawre Aandhi Aayi,Add a Plot,Gaurav Bal, 
Ek Adhuri Dastaan,Add a Plot,Nirbhay Chaudhary, 
Baiyko,"An unknown writer has struggled for more than 15years, trying to sell his script.He has reached to the breaking point when he gets a call from a producer duo at their farmhouse to narrate ...                See full summary »",Rohit Shukre, 
Bombay Summer,Add a Plot,Ranjeet Kumar, 
Bombay Romance,Add a Plot,Jugal Raja, 
Pagalpan,Add a Plot,Mehmood Jr., 
Rape Unreported,Add a Plot,Saif Baidya, 
The Dream Job-50$aRupee,"The Dream Job, about career highs and young romance set within the banking sector, is basically a coming-of-age story about two couples who follow their dreams with varying success. A set ...                See full summary »",Mukesh Mishra, 
Tycoons: The Scam Story,Add a Plot,Amit Ramesh Rughani, 
Tycoons,Porbandar Mines and Minerals scam. An untold story of the era. Dramatic graph of the film connects film to the true story.,Amit Ramesh Rughani, 
Naya Savera,Add a Plot,Kavi Raz, 
Ek Musafir,Add a Plot,Kavi Raz, 
Achanak,Add a Plot,Kavi Raz, 
Jasoos,Add a Plot,J.U. Trivedi, 
Vadiyan,"A Suspense Thriller, Story based in Mumbai. Story is based on mistaken identity. Centralized on Milind Gunaji and Sudesh Berry.",Rajan Priyadarshi, 
Afghan: in Search of a Home,"In a present day war torn Afghanistan, an Afghan musician flees his country under tense circumstances and seeks refuge in India where he finds love in more ways than one. The movie ...                See full summary »",Radhika Rao, 
Ye Hai Gaddar Dil,"This a love story, thriller movie. Based on Love and revenge.",Jimmy Jaiswal, 
Jaal,Add a Plot,Aji Mathai, 
Taabeer,"After being taken a prisoner, a soldier must decide between betraying his country and saving his fellow soldiers.",Nirang Desai, 
Lakeeran the Destiny,"A love story based on two families, a Sikh family and a Muslim family. Ravi who is an engineering graduate and is keen to settle abroad. An agent get him a visa charging a huge amount. On ...                See full summary »",Dharam Panesar, 
Hasrat,Add a Plot,Saila Mukherjee, 
Pick Pocket,Add a Plot,Nari Ghadiali, 
Hai Jani,Add a Plot,A.R. Zamindar, 
Tilasmi Duniya,Add a Plot,A.M. Khan, 
Vijay: The Spiritual Legend,Add a Plot,Shreyans Jain, 
Amal,"witness the suffering of Afnan. afnan a patient of erectile dysfunction with the help of a religious preacher go to his hometown to do sifli magic so that his disease can be cured, but...",Afnan Amrohi, 
Silver Queen,Add a Plot,Raja Yagnik, 
Air Mail,Add a Plot,A. Rashid, 
Kaun Pardesi,Add a Plot,J.U. Trivedi, 
Sonchand,Add a Plot,Ranjith Oraon, 
Aap Se Pyar Hua,Add a Plot,P. Sharma, 
Dhokebaj,Add a Plot,R. Shivraj, 
Naqli Baap,Add a Plot,Ahmed Ghazi, 
Room No. 9,Add a Plot,Vedi, 
Extra Girl,Add a Plot,K.L. Kahan, 
Bhedi Dushman,Add a Plot,Ranjibhai Arya, 
Kismetwali,Add a Plot,Behram Mukadam, 
POV: Point of view,"Ghost is the fear of a self-fabricated cage in the subconscious, in which people lock themselves up consciously. Everything which exists on this earth is as correct as well as incorrect. Point of view defines them, period.",Prabhakar Jha, 
Mughal Road,Add a Plot,Prabhakar Jha, 
Ek Pyaar Ka Nagma Hai,Add a Plot,Dharmendra Shekhar Ojha, 
Bhumi,The story of the film begins with the murder of a new born baby girl from Mangala Seheriya(Kallu Majumdaar's Wife) by the Parvati Seheriya(Kallu's mother) of the family supported by the ...                See full summary »,Mohd Feroz Qureshi, 
Film Woh,'Torn Between Hatred and Love',Deo Narayan, 
The Touch,A blind man had sold everything he had and has gathered fifteen million rupees to hire a contract killer to kill the man responsible for the death of his family and his blindness. But the ...                See full summary »,Anand Vrs Tomar, 
Threads of Fate,"A young woman living a dry, barren life with her old husband in a small town of Rajasthan begins to bloom on arrival of her stepson, who is almost her age. The film takes a rare peek of ...                See full summary »",Sil Ritesh, 
Tejas,The story of a woman pilot in the Indian Air Force.,Sarvesh Mewara, 
The Untold Story Aahinsa,Add a Plot,Yusuf ali Khan, 
Dilli Gang,Dilli Gang is the story of an old man targeted by a dangerous gang which preys on senior citizens living alone. The film is based on true incidents of increasing murders of aged men and women staying alone in metropolitan cities.,Ashish Tyagi, 
Albert Einstein: a Survival Story of a Student,A 12 year old boy is forced to attend school as he dislikes it and finds it to be very boring. What follows is an amusing dilemmatic journey of the boy wrestling with the fear of studies ...                See full summary »,Sunil Mathur, 
Respect Her,Add a Plot,Rugved Mondkar, 
Bandit Queen-2,Story of a film Film is based on Phoolan Devi's life.,Ravi Basera, 
Perfect Plan,Jhanvi and Veer were married and living happily with each other. Jhanvi was very fond of reading novels and the hangover is so high that she sees the characters of the novels in her dream. ...                See full summary »,Yusuf Qasmi, 
Sachin: The Ultimate Winner,IT IS A STORY OF A BOY SACHIN WHO IS VERY KIND HEARTED AND A GOOD PLAYER OF CRICKET. SACHIN TENDULKAR IS HIS HERO. HE WANT TO GAIN NAME AND FAME LIKE SACHIN TENDULKAR. BUT ONE DAY HE MEET ...                See full summary »,Dweep Raj Kochhar, 
Will fly,"Dheblu carrying the burdens of her dead husband along with her daughter Pokchi, are on their final journey to the mountains of Uribo. Alongside the story of Putum, a 9 year old earthquake survivor on a quest to find her lost family back.",Junaid Khalifa, 
Kapat,"Three friends...One love story...and a betrayal. Kapat revolves around 3 close friends - Gayatri, Kunal and Siddhant. The love story between Kunal and Gayatri. However life turns upside ...                See full summary »",Milinnd Sagar, 
Jeet Lengey Jahaan,"Parents grow up their kids upto 18 years with a dream to make them Doctor/engineer and educate them accordingly with all their possible efforts and difficulties, but, Kids when grow young ...                See full summary »",Lalit Bisht, 
Lucky & Happy,Add a Plot,Lalit Bisht, 
Chamatkaar,Add a Plot,Pramod Chakravorty, 
Seema,Add a Plot,Suraj Prakash, 
The Guilty Misfits,Characters explore themselves through the dilemma of sex and ethics.,Ruturaj Dhalgade, 
Hurricane Special,The lovely Ramkuvar takes on the identity of Hurricane Special and comes to the rescue of the kingdom of Laxminagar from tyranny.,Chunilal Parekh, 
Firoz Masani,Add a Plot,Chunilal Parekh, 
Mr Lele,A Marathi NRI takes ecstasy at a night club and in 48 hours he ends up in jail.,Shashank Khaitan, 
Ishq firangi,this is a love story with a very romantic twist n turns.,Meena Lalit, 
Time Up,"Concept is based on women issues, how women are suppressed in male dominant world, specially in India, be it financially, mentally, emotionally, physically, and socially and her continuous fight for revolution in present society.",Garriema Shah, 
THE TRAP,"For Shravni, a struggling actress, it was a regular day. Since it was the final day of Ganesh Visarjan, she reached the Producers office dot on time for audition, just like many other ...                See full summary »",Rupesh Paul, 
Dancing Dad,Story of a father and his 13 year old daughter.,Rupesh Paul, 
Maanas,Lead Protagonist - Munna has a family of younger brother 'Chotu' and his mother 'Aai.' He has a (forgotten) past that he visualizes often but never understands it. Story rolls within span ...                See full summary »,Dave Jigar, 
Return of Ranveer,Add a Plot,Ashok Jamuar, 
An Unspoken Love Story,Add a Plot,Yogesh, 
Bhanvraa,Based on lives of younger generation and their enjoyment when call centers were making its place in India.,Dharmesh Darshan, 
